gene,GH,AN,MH,US,sum,max_PBE,max_PBE_pop
Zm00001d007966,1,1,1,1,4,2.18834450200172,AN
Zm00001d007967,1,1,1,1,4,2.18834450200172,AN
Zm00001d007968,1,1,1,1,4,2.18834450200172,AN
Zm00001d015293,1,1,1,1,4,2.18834450200172,AN
Zm00001d017811,1,1,1,1,4,2.18834450200172,AN
Zm00001d017812,1,1,1,1,4,2.18834450200172,AN
Zm00001d009454,1,1,1,1,4,2.18834450200172,AN
Zm00001d011752,1,1,1,1,4,2.18834450200172,AN
Zm00001d011753,1,1,1,1,4,2.18834450200172,AN
Zm00001d011754,1,1,1,1,4,2.18834450200172,AN
Zm00001d012102,1,1,1,1,4,2.18834450200172,AN
Zm00001d041510,1,1,1,1,4,2.17502775957917,US
Zm00001d041511,1,1,1,1,4,2.17502775957917,US
Zm00001d007754,1,1,1,1,4,1.94591114905581,MH
Zm00001d007755,1,1,1,1,4,1.94591114905581,MH
Zm00001d040535,1,1,1,1,4,1.94591114905581,MH
Zm00001d040536,1,1,1,1,4,1.94591114905581,MH
Zm00001d017809,1,1,1,1,4,1.94591114905581,MH
Zm00001d017810,1,1,1,1,4,1.94591114905581,MH
Zm00001d045836,1,1,1,1,4,1.94591114905581,MH
Zm00001d045918,1,1,1,1,4,1.94591114905581,MH
Zm00001d045919,1,1,1,1,4,1.94591114905581,MH
Zm00001d045927,1,1,1,1,4,1.94591114905581,MH
Zm00001d045987,1,1,1,1,4,1.94591114905581,MH
Zm00001d046330,1,1,1,1,4,1.94591114905581,MH
Zm00001d027918,1,1,1,1,4,1.85102335671975,AN
Zm00001d027919,1,1,1,1,4,1.85102335671975,AN
Zm00001d027920,1,1,1,1,4,1.85102335671975,AN
Zm00001d032587,1,1,1,1,4,1.85102335671975,AN
Zm00001d033985,1,1,1,1,4,1.85102335671975,AN
Zm00001d033986,1,1,1,1,4,1.85102335671975,AN
Zm00001d034931,1,1,1,1,4,1.85102335671975,AN
Zm00001d034932,1,1,1,1,4,1.85102335671975,AN
Zm00001d034935,1,1,1,1,4,1.85102335671975,AN
Zm00001d034936,1,1,1,1,4,1.85102335671975,AN
Zm00001d038104,1,1,1,1,4,1.85102335671975,AN
Zm00001d045974,1,1,1,1,4,1.85102335671975,AN
Zm00001d045975,1,1,1,1,4,1.85102335671975,AN
Zm00001d049687,1,1,1,1,4,1.83709804634613,AN
Zm00001d044717,1,1,1,1,4,1.83709804634613,AN
Zm00001d047261,1,1,1,1,4,1.83709804634613,AN
Zm00001d047262,1,1,1,1,4,1.83709804634613,AN
Zm00001d047263,1,1,1,1,4,1.83709804634613,AN
